NR_4.0_29909.1 4V9Q DV
NR_4.0_09443.2 4K4S B,F,C,G,D,H
NR_4.0_46024.1 5XY3 3
NR_4.0_14870.1 3BOY D
NR_4.0_09128.1 1XPU G
NR_4.0_92727.1 3K49 F
NR_4.0_80915.1 7QDY E
NR_4.0_48000.1 3GTO R
NR_4.0_01981.1 3T3O B
NR_4.0_78007.1 5O20 B
NR_4.0_90532.1 6KOQ I
NR_4.0_04166.1 6YMC A
NR_4.0_62964.1 8ABZ R
NR_4.0_05128.1 4FVU B,C
NR_4.0_08831.2 3NDB M
NR_4.0_82907.1 6ZU5 S60
NR_4.0_64844.1 3H5X T,P
NR_4.0_14980.1 3K61 B
NR_4.0_14947.1 1KOG O
NR_4.0_10013.1 5X70 E
NR_4.0_33125.1 4NH6 B
NR_4.0_73445.1 4LX6 A
NR_4.0_65051.1 7R7C 1
NR_4.0_35122.1 7NAD 1
NR_4.0_45428.1 7OZQ H
NR_4.0_06683.1 4NGF G,H
NR_4.0_46231.1 3NMU E,K
NR_4.0_05749.1 4X6A R
NR_4.0_97666.1 3Q0Q B
NR_4.0_36393.1 2IY5 T
NR_4.0_57734.1 2BGG P,Q
NR_4.0_00338.1 6SY4 C
NR_4.0_43622.1 1E7K C
NR_4.0_68428.1 1D4R B,A
NR_4.0_48702.2 6GC5 E
NR_4.0_50067.1 3NNC B
NR_4.0_82184.1 6GC5 G
NR_4.0_89699.1 7ED5 J,I
NR_4.0_31074.2 4RKV A
NR_4.0_41566.1 4RKV B
NR_4.0_30317.1 4RWN B,C
NR_4.0_63209.1 3R1E A,B
NR_4.0_73491.1 7MLB I
NR_4.0_42653.1 5T16 H
NR_4.0_37008.1 4PLX A
NR_4.0_58839.1 6G63 B
NR_4.0_92778.1 1N1H B
NR_4.0_14254.1 7LJ3 A
NR_4.0_08138.1 5F0Q C
NR_4.0_83547.1 3J7R S6
NR_4.0_73958.1 3J7R S5
NR_4.0_61505.1 3J7P S2
NR_4.0_92531.1 7SLQ R
NR_4.0_18038.1 7N2V Pt
NR_4.0_77116.1 7M3T Y
NR_4.0_26483.1 3J7Q 5,8
NR_4.0_69766.1 4MCF B,D,C,A
NR_4.0_78605.1 5JJI G
NR_4.0_07579.1 4OHZ B
NR_4.0_51980.1 3AVX T,G
NR_4.0_11791.1 3BSU D
NR_4.0_81112.1 6E7L A
NR_4.0_56450.1 3QRQ B
NR_4.0_23989.1 2BTE B
NR_4.0_83261.1 7Z1O R
NR_4.0_38607.1 7A9W B
NR_4.0_05648.1 6HAU D
NR_4.0_22479.1 3D0U A
NR_4.0_40854.1 7UO0 C
NR_4.0_85964.1 7BG6 C
NR_4.0_40788.1 6T7T 6
NR_4.0_53766.1 4KR6 D
NR_4.0_85566.1 4GV6 C,B
NR_4.0_96977.1 3MQK D,E
NR_4.0_65533.1 3OVB C
NR_4.0_03325.1 5ZUU E,F
NR_4.0_33499.1 5ZQ8 D
NR_4.0_26975.1 5JS1 B
NR_4.0_47370.1 1P6V B
NR_4.0_18848.1 6CB3 B
NR_4.0_49696.1 5LQT A,B
NR_4.0_41742.3 7KGB B
NR_4.0_80882.1 4Z31 E
NR_4.0_03885.1 3Q2T F
NR_4.0_02142.1 4V8N CV
NR_4.0_69465.1 7KUN A,B
NR_4.0_95023.1 2A8V D
NR_4.0_40133.1 7AM2 R2,R5
NR_4.0_43614.1 6QX3 G
NR_4.0_87112.1 7P48 5
NR_4.0_24558.1 2XNR C
NR_4.0_65789.1 6N6F D
NR_4.0_16093.1 6UV2 C
NR_4.0_83079.1 2P7E A
NR_4.0_09332.1 2JLV C
NR_4.0_33669.1 4PY5 B
NR_4.0_54515.1 7LD5 D
NR_4.0_26590.1 7K9Y F
NR_4.0_66484.2 3HHN E
NR_4.0_06284.1 7K9Y G
NR_4.0_37621.1 7M2V T,k
NR_4.0_54538.1 4JIY A
NR_4.0_41488.1 7K9Y H
NR_4.0_88912.1 7C2K F,G
NR_4.0_07342.1 6WYB B
NR_4.0_19534.1 6YAL 1
NR_4.0_59092.1 7AAP T,P
NR_4.0_11986.2 2YHM K
NR_4.0_18350.1 7KX9 B,C
NR_4.0_60079.1 5X2G B
NR_4.0_33615.1 6KLH B
NR_4.0_65615.1 5HR6 C
NR_4.0_98839.1 6GMH P
NR_4.0_64573.1 7M3T P
NR_4.0_99363.1 1SA9 C,D
NR_4.0_85719.1 1S76 R
NR_4.0_48564.1 6SX2 C,D
NR_4.0_04353.1 5Y88 x
NR_4.0_79448.1 7PWO w2
NR_4.0_51645.1 6XU8 B2
NR_4.0_28561.1 7QCA L50
NR_4.0_00361.1 7LYG A
NR_4.0_71228.1 7PZY 1,4
NR_4.0_53735.1 4QLM A
NR_4.0_29005.1 2C4R R
NR_4.0_64642.1 4XWW E
NR_4.0_09504.1 4XWW D
NR_4.0_75304.1 3AHU X
NR_4.0_04998.1 7M3T e
NR_4.0_20925.1 6KQM I
NR_4.0_16975.1 7M3T a
NR_4.0_53856.1 5JBG X
NR_4.0_52561.1 7M3T n
NR_4.0_41279.1 7UML R
NR_4.0_95948.1 5VCI A,B
NR_4.0_08389.1 6D6R N
NR_4.0_51454.1 6NOD E
NR_4.0_85950.1 3PTX R
NR_4.0_98642.1 5OT2 P
NR_4.0_53904.1 7QTL M,R
NR_4.0_74768.1 7PD3 B
NR_4.0_87862.1 7TQL 3
NR_4.0_74407.1 5XH7 B
NR_4.0_10146.1 7M50 X,m
NR_4.0_65741.1 7TR6 R
NR_4.0_70416.1 6YS3 v
NR_4.0_49362.3 280D A,B
NR_4.0_39268.1 3E2E R
NR_4.0_24573.1 4YHW F,D
NR_4.0_06563.1 6ZJ3 S1
NR_4.0_16585.1 3PO2 P
NR_4.0_82856.2 4A3D P
NR_4.0_20765.1 7UU3 C,D
NR_4.0_23462.1 6DTA D
NR_4.0_25125.1 3GM7 G,H
NR_4.0_67835.1 7C07 C
NR_4.0_42738.1 7AIH 1
NR_4.0_52699.1 2AKE B
NR_4.0_02802.1 7C07 X
NR_4.0_77791.1 5C9H G,E
NR_4.0_91027.1 5HK0 E
NR_4.0_02527.1 7OT5 z
NR_4.0_96653.1 387D A
NR_4.0_63119.1 7C07 I
NR_4.0_39627.4 2R8S R
NR_4.0_86801.1 6G3B C
NR_4.0_93248.1 7C07 O
NR_4.0_49195.1 6LSE C,B
NR_4.0_27092.1 7UZX G,L
NR_4.0_88906.1 3CZ3 G,H
NR_4.0_27557.1 4KZD R
NR_4.0_93523.1 1ZBI C
NR_4.0_59651.1 2OEU A
NR_4.0_81338.1 7PKT 3,4,5,2
NR_4.0_39499.1 6VRC B
NR_4.0_46186.1 8APN C1
NR_4.0_31915.1 7B3C T,P
NR_4.0_83142.1 6URO D
NR_4.0_18396.1 3ZC0 M
NR_4.0_91413.1 4OL8 C
NR_4.0_75344.1 4QM6 D
NR_4.0_26426.2 6C63 A
NR_4.0_96460.1 4JZU C
NR_4.0_27657.1 5VJ9 C
NR_4.0_18481.1 5EV4 B
NR_4.0_03110.1 7JIL 1
NR_4.0_03625.1 7C07 1
NR_4.0_54615.1 7JIL 3
NR_4.0_68259.1 5UNE A,B
NR_4.0_62003.1 2E9Z B,C
NR_4.0_81203.2 4K4Z N,O,P
NR_4.0_38802.1 7LYF A
NR_4.0_30539.1 6SZU V,M
NR_4.0_32759.1 7VKI B
NR_4.0_30433.1 5EW4 B,A
NR_4.0_65284.1 2ZUE B
NR_4.0_98299.1 5T7V D
NR_4.0_15716.2 6QKL N
NR_4.0_24202.1 4PKD V
NR_4.0_84568.1 6BSI R
NR_4.0_39301.1 4FSJ R
NR_4.0_46239.1 2R7S X
NR_4.0_09916.1 3JBU X
NR_4.0_64994.1 4A3B P
NR_4.0_84250.1 6U6Y E
NR_4.0_05533.1 6U6Y G
NR_4.0_08270.1 6U6Y F
NR_4.0_67009.1 6U6Y H
NR_4.0_54845.1 1X8W C
NR_4.0_29179.1 3PU1 R
NR_4.0_18586.50 5TBW AS
NR_4.0_56731.1 7Z4O VVV
NR_4.0_06107.1 2VUQ A,B
NR_4.0_07832.1 3IBK A
NR_4.0_36231.1 2ANN B
NR_4.0_77521.1 6RR7 F
NR_4.0_12878.1 7SYP 7
NR_4.0_89332.1 1A9N Q
NR_4.0_56742.1 6D3P A
NR_4.0_89953.1 6RTI X
NR_4.0_25652.1 5MRC bb
NR_4.0_46890.1 7XTI P
NR_4.0_11374.1 6UFG B
NR_4.0_77859.1 7CGK B
NR_4.0_65336.1 7OZS 3
NR_4.0_07634.1 6HU6 B,F
NR_4.0_51779.4 1Z7F A
NR_4.0_36586.1 7OFW C
NR_4.0_28021.1 7LYS B
NR_4.0_30079.1 5V1K A,B
NR_4.0_00518.1 5I9G A
NR_4.0_00429.1 6WXY A
NR_4.0_34126.1 3HAX E
NR_4.0_37940.1 2R7U X
NR_4.0_99289.1 7OYC 51,81
NR_4.0_52315.1 4M4O B
NR_4.0_77860.1 7SOU B
NR_4.0_66347.1 4W29 AX
NR_4.0_16683.1 5BKN X,m
NR_4.0_03741.2 7ADC R
NR_4.0_70717.1 6UFG A
NR_4.0_17264.1 2XSL C,D
NR_4.0_55424.1 3NKB B
NR_4.0_20325.1 5C4X R
NR_4.0_35591.1 7XWZ F
NR_4.0_08924.1 4Z7K C
NR_4.0_35133.5 2Z75 B
NR_4.0_05887.1 7YSE E
NR_4.0_67328.2 6QW6 4
NR_4.0_70511.1 6E9F B,C
NR_4.0_67171.1 418D A,B
NR_4.0_21015.2 7ZW0 sl
NR_4.0_75005.1 4TZ6 B
NR_4.0_52002.1 8D4A B
NR_4.0_53912.1 5OIK P
NR_4.0_53426.1 4E6B A,B
NR_4.0_15683.2 6MCB B
NR_4.0_78797.5 4LVW A
NR_4.0_33534.2 7BKP X,Z
NR_4.0_26354.1 4XJN N
NR_4.0_65220.1 6A6J D
NR_4.0_41538.1 1WNE B,C
NR_4.0_85596.1 7UY6 B
NR_4.0_79612.1 1UVI D
NR_4.0_24663.1 3GS5 C
NR_4.0_17580.1 4JRT A,B
NR_4.0_24791.1 3GS5 A
NR_4.0_53890.1 2AO5 C,D
NR_4.0_00810.1 4C7O E
NR_4.0_57933.1 2XXA F
NR_4.0_42085.1 4M7D P
NR_4.0_50660.1 2R92 T,P
NR_4.0_30013.1 7PMQ F
NR_4.0_33790.1 4K4U B,C,D
NR_4.0_39307.1 7NT5 N
NR_4.0_33378.1 3V74 B
NR_4.0_10291.1 6RT7 E
NR_4.0_84961.1 4PJO 1
NR_4.0_42139.1 7ANE 2
NR_4.0_65598.1 1TFW H,E
NR_4.0_56002.1 6KUK V,R
NR_4.0_61090.1 7DOI T,P
NR_4.0_69202.1 4JV5 X
NR_4.0_61139.1 4JV5 Y
NR_4.0_03525.1 2BH2 D
NR_4.0_57443.1 4KR9 M
NR_4.0_25856.1 2VOO C
NR_4.0_12677.1 402D A,B
NR_4.0_61988.1 3OG8 C,D
NR_4.0_18996.1 1DI2 E
NR_4.0_67394.1 5XYI 2
NR_4.0_28661.1 5K78 X
NR_4.0_25155.1 5K78 Y
NR_4.0_43515.1 6DP8 B
NR_4.0_29524.1 2J0S E
NR_4.0_05181.1 5VT0 R
NR_4.0_46995.27 6ZMI S2
NR_4.0_51220.1 7DVQ F,H
NR_4.0_79685.1 4YHW E,C
NR_4.0_33619.1 5K78 x
NR_4.0_73803.1 5VOE A
NR_4.0_93701.1 5V3F A
NR_4.0_67358.1 7P9I E
NR_4.0_96160.1 3CJZ A,B
NR_4.0_78250.1 6P5N 1
NR_4.0_70596.1 5BKN UU,ll
NR_4.0_72335.1 5MSF R
NR_4.0_46884.1 1MZP B
NR_4.0_59550.1 7F3K B
NR_4.0_79079.1 6QCS M
NR_4.0_84439.1 7WAY D
NR_4.0_25919.1 6CF2 G
NR_4.0_48165.1 8D28 B
NR_4.0_32986.2 6OW3 I
NR_4.0_93070.1 6BBO F,G
NR_4.0_20230.1 7B5K z
NR_4.0_85104.1 1NJP 5
NR_4.0_28676.1 5BKL i,T
NR_4.0_18726.1 6MFN E,C
NR_4.0_29353.1 4QQB P
NR_4.0_03657.1 1DDL D
NR_4.0_79594.1 7C7L C
NR_4.0_51111.1 4NIA o
NR_4.0_67179.1 4Q0B E
NR_4.0_23264.1 7MKT A
NR_4.0_72481.1 4KJI C
NR_4.0_91665.5 4QCL B
NR_4.0_31898.1 5U0Q C,D
NR_4.0_84656.1 7OAX A
NR_4.0_18267.1 6R9Q B
NR_4.0_38178.1 7QGG S2
NR_4.0_55002.1 6TH6 BA
NR_4.0_26197.1 6SKG BB
NR_4.0_39845.1 6ZJ3 LI
NR_4.0_16755.1 2EC0 B,C
NR_4.0_00321.1 6ZJ3 LK
NR_4.0_08919.1 6ZJ3 LJ
NR_4.0_40252.1 2QUS A
NR_4.0_68262.1 3X1L I
NR_4.0_29604.1 6W2T A
NR_4.0_81896.1 3GLP B,A
NR_4.0_97263.1 5GAN U
NR_4.0_70063.1 4WTM T,P
NR_4.0_99552.1 6DT8 D
NR_4.0_29366.1 7ELH R,S
NR_4.0_92069.1 7ODF F
NR_4.0_30422.1 2VNU B
NR_4.0_14315.1 6E8T D
NR_4.0_98593.1 5D8H A
NR_4.0_43481.3 7RYG a
NR_4.0_19056.1 5WWG B
NR_4.0_88266.1 1G2E B
NR_4.0_69774.1 5H1K C,D
NR_4.0_34039.1 6DU5 B
NR_4.0_86056.1 7M2V V,ww
NR_4.0_90416.1 6AZ1 1
NR_4.0_62371.1 7SOP B
NR_4.0_31480.1 4YAZ R
NR_4.0_55964.1 5D5L A
NR_4.0_77704.1 6WVJ R
NR_4.0_07497.1 4DR6 W,V
NR_4.0_75086.1 6SGA CA
NR_4.0_39569.1 4YYE C
NR_4.0_89748.1 6KQL I
NR_4.0_58318.1 406D A,E
NR_4.0_67969.1 8A22 B3,B2,B1
NR_4.0_65712.1 3VNV T,G
NR_4.0_31288.1 4C8Y C
NR_4.0_65384.1 8E40 r,R
NR_4.0_28269.1 5G2X A
NR_4.0_18718.1 4PDB I
NR_4.0_60445.2 8GNA C,J
NR_4.0_40560.1 3OIN C
NR_4.0_48927.1 4EYA m,n
NR_4.0_79502.1 3HJY D,C,E
NR_4.0_53377.1 7F3J D
NR_4.0_41208.1 7F3J B
NR_4.0_70313.2 5H9F L
NR_4.0_56855.1 3KNA B,C
NR_4.0_11198.1 1BMV M
NR_4.0_73187.1 2WJ8 d
NR_4.0_99451.1 3VNU G,T
NR_4.0_31876.1 7DFH T,P
NR_4.0_08692.3 3G9C Q
NR_4.0_74214.1 7P7T C
NR_4.0_04414.1 6TW1 V,M
NR_4.0_45731.1 6LSG B,C
NR_4.0_45854.1 8DG7 F,E
NR_4.0_01810.1 3KS8 E,F
NR_4.0_45842.1 6GD2 D
NR_4.0_20965.1 4ZT0 D
NR_4.0_33685.1 4E6B E,F
NR_4.0_00854.1 7MKA r
NR_4.0_62528.1 5EEU W
NR_4.0_05788.1 6P71 I
NR_4.0_88520.1 3PDM R
NR_4.0_05337.1 6UQ3 R
NR_4.0_04852.2 2UWM D
NR_4.0_17495.1 3SSF A
NR_4.0_80994.1 8ASG T
NR_4.0_69082.1 8ASG P
NR_4.0_07539.1 8EUG 9
NR_4.0_13922.1 7ZOL C
NR_4.0_44698.1 6UFM A
NR_4.0_64715.1 7DN3 R
NR_4.0_45166.1 5DET Q
NR_4.0_89128.1 5DET P
NR_4.0_18317.1 8ASD T,G
NR_4.0_51148.1 5ELS H
NR_4.0_26105.1 5ELS I
NR_4.0_30844.1 1QC0 B,A
NR_4.0_32878.1 7A01 E1
NR_4.0_98573.1 4Z0C C
NR_4.0_30596.1 3A6P E,D
NR_4.0_24114.1 6NOH B
NR_4.0_10787.1 5X6B P
NR_4.0_29277.1 4N2S B
NR_4.0_84559.1 6E8U B
NR_4.0_34846.1 5L3P y
NR_4.0_29002.1 4WSB V,R
NR_4.0_12473.1 7TUV B
NR_4.0_66760.1 5I9F F
NR_4.0_57114.1 5N94 D
NR_4.0_30259.1 5T7B R
NR_4.0_20857.1 5VAJ C
NR_4.0_12576.1 6WBR B
NR_4.0_45187.1 4YOE E
NR_4.0_25308.1 8DC2 B
NR_4.0_32676.1 2F8K B
NR_4.0_78430.1 4QVD H
NR_4.0_99566.1 6YWE bb
NR_4.0_79329.1 332D A,B
NR_4.0_62747.1 4FTB R
NR_4.0_93290.1 6ZMO CB
NR_4.0_68652.1 3QRP B,C
NR_4.0_24908.1 5GXI B
NR_4.0_49799.1 2B63 R
NR_4.0_16515.1 7N06 G
NR_4.0_47915.1 3GTK R
NR_4.0_62367.1 1MJI D
NR_4.0_85762.1 3K62 B
NR_4.0_97023.1 7NKX P
NR_4.0_23150.1 1CGM I
NR_4.0_32990.2 6HD7 B
NR_4.0_36371.1 283D A
NR_4.0_94252.1 5EMO E
NR_4.0_57322.1 7S3B B
NR_4.0_54448.1 2BBV N
NR_4.0_83080.1 2QWY C
NR_4.0_80225.1 6OL3 C
NR_4.0_94871.1 6MDZ E,C
NR_4.0_23784.1 1QCU A,B
NR_4.0_92345.1 7QXA B
NR_4.0_26059.1 4P3U C,D
NR_4.0_13899.1 4WZJ XXX
NR_4.0_61892.1 4QIL C
NR_4.0_36012.1 7ECO E,F
NR_4.0_05306.1 7R6Q 1,2
NR_4.0_52691.1 4E78 P,T
NR_4.0_70847.1 7QCA S60
NR_4.0_87225.1 4EYA o,p
NR_4.0_47650.1 7Q80 E,F,D
NR_4.0_00917.1 7XHT B
NR_4.0_92997.1 7Q82 C,B,A
NR_4.0_76824.1 4DR7 W
NR_4.0_80567.1 3GVN A,B
NR_4.0_73482.1 7VBC R
NR_4.0_68616.1 6HYU B
NR_4.0_49553.1 3CUL C
NR_4.0_88088.1 1Y0Q A
NR_4.0_36591.1 5XWY B
NR_4.0_05805.1 7ECP A,B
NR_4.0_17436.1 5XXB 3
NR_4.0_44868.1 6FZ0 A
NR_4.0_21305.1 7O5B W
NR_4.0_83369.1 6P19 R
NR_4.0_75428.1 7BPG G
NR_4.0_10218.1 3HOU 6
NR_4.0_14513.1 3SIU F
NR_4.0_12561.1 6QN3 A,B
NR_4.0_20306.1 4ZLR C
NR_4.0_12080.1 3HGA X
NR_4.0_94195.1 6XLW B
NR_4.0_09823.1 7AOZ P
NR_4.0_22486.1 8GXB B
NR_4.0_17090.1 5XC6 C
NR_4.0_60450.1 3GTM M
NR_4.0_93219.1 2AZ0 C,D
NR_4.0_28964.1 1PGL 3
NR_4.0_60836.1 5A0V E
NR_4.0_86951.1 7RDQ I
NR_4.0_33731.1 7QTN B,A
NR_4.0_00732.1 6OY7 I
NR_4.0_14978.1 6WPI B
NR_4.0_73930.1 2YJY C
NR_4.0_02491.1 4V6E AX
NR_4.0_02825.1 6AH3 T
NR_4.0_14959.1 6DCC B
NR_4.0_31449.1 5JJL G
NR_4.0_39179.1 4WZM B,C
NR_4.0_54657.1 2O3Y A,B
NR_4.0_50990.1 4U34 B,A
NR_4.0_98595.1 6GV4 D
NR_4.0_65600.1 2XLK C
NR_4.0_41922.1 4KTG B
NR_4.0_70550.1 361D B
NR_4.0_78931.1 4KNQ B
NR_4.0_90823.1 5D0B F
NR_4.0_00935.1 7NDJ C
NR_4.0_03365.1 6UFM B
NR_4.0_70871.1 377D A,B
NR_4.0_73526.1 361D A
NR_4.0_77810.2 6D1V C
NR_4.0_73713.1 4Z31 C,D
NR_4.0_03445.1 1QVF 3
NR_4.0_49764.1 5WNU b,a
NR_4.0_76723.1 5BKL h,S
NR_4.0_28942.1 8HRA K
NR_4.0_23650.1 2A0P A,B
NR_4.0_29245.1 3AVU T,G
NR_4.0_97537.1 3P4D B
NR_4.0_51052.1 7JRT A
NR_4.0_50588.1 3NVI F
NR_4.0_70662.1 6PIJ 1
NR_4.0_01901.1 7KFN B,C
NR_4.0_67592.1 1VTM R
NR_4.0_70420.1 1J1U B
NR_4.0_96736.1 6T0S V,M
NR_4.0_43536.1 7OYB 71
NR_4.0_44691.1 3W3S B
NR_4.0_30612.1 8CTI C
NR_4.0_43894.1 6SWE 2
NR_4.0_14212.1 5HO4 B
NR_4.0_90215.1 1YLS B
NR_4.0_79785.1 6VRD B
NR_4.0_31816.1 7AJU EA
NR_4.0_59019.1 7Y7T D
NR_4.0_67574.1 5F8N B,C
NR_4.0_18206.1 7YPA H,I
NR_4.0_36248.2 7BKQ X,Y
NR_4.0_60938.1 5BKN V,WW
NR_4.0_26685.1 7SOT B
NR_4.0_23849.1 7ACJ 4
NR_4.0_22308.1 7ORO T,P
NR_4.0_32332.1 5E81 3L
NR_4.0_43343.1 7D3J B
NR_4.0_39792.1 4U7U L
NR_4.0_08738.1 3Q0P D
NR_4.0_90326.1 6ZJ3 LH,LG
NR_4.0_33458.1 3MIJ A
NR_4.0_32864.1 7V01 U,G
NR_4.0_64006.2 7C79 A
NR_4.0_48255.1 7K16 P
NR_4.0_84308.1 6XLJ R
NR_4.0_42729.1 7KX7 B
NR_4.0_23929.3 5W5Y R
NR_4.0_30330.1 6U9X H
NR_4.0_45231.1 3J7A A
NR_4.0_68289.1 4F02 B
NR_4.0_55334.1 5ELK R
NR_4.0_03470.1 1SER T
NR_4.0_26733.1 2G4B B
NR_4.0_36824.1 7NAF 1
NR_4.0_41946.1 8DZK P
NR_4.0_30486.2 6OKK g
NR_4.0_10054.2 5DH6 A
NR_4.0_46700.1 7N0B T,D
NR_4.0_10510.1 6BK8 2,6,i
NR_4.0_64208.1 5G4U I,J
NR_4.0_37735.1 1L2X A
NR_4.0_85460.1 8DZK G
NR_4.0_39458.1 6E8T A
NR_4.0_04798.1 8DZK N
NR_4.0_37564.1 8DZK O
NR_4.0_48282.1 2RFK E,D,F
NR_4.0_20040.1 6UV1 D
NR_4.0_86209.1 7C06 1
NR_4.0_91539.1 5T83 A
NR_4.0_83260.1 5Z4D B
NR_4.0_36746.1 5MGA B
NR_4.0_83665.1 5Y58 X
NR_4.0_35479.1 4KQY A
NR_4.0_74336.1 1ZBH F
NR_4.0_21705.1 3SKI A
NR_4.0_81653.1 1J6S A
NR_4.0_10909.1 6XA1 Bv
NR_4.0_57792.1 6HA8 x
NR_4.0_19715.1 255D A
NR_4.0_16745.1 4IJS F
NR_4.0_02486.1 5BKN e
NR_4.0_96955.1 7QGG t,D
NR_4.0_90279.1 8EG0 C
NR_4.0_15161.1 5EN1 B
NR_4.0_46403.1 3BNN C,D
NR_4.0_27566.1 5WS2 D
NR_4.0_96183.1 7D58 T
NR_4.0_26439.1 7C06 C
NR_4.0_44600.1 2XS5 D
NR_4.0_06970.1 4GG4 H
NR_4.0_68707.1 7C06 X
NR_4.0_53658.1 7AOR A
NR_4.0_40126.1 1M8W E
NR_4.0_73600.1 4IJS H
NR_4.0_48589.1 2O3V A,B
NR_4.0_80150.1 4IJS E
NR_4.0_08946.1 4IJS G
NR_4.0_77647.1 8A22 A7,A6
NR_4.0_14136.1 1DFU M,N
NR_4.0_81068.1 1M8W C
NR_4.0_08930.1 6Q9A 4
NR_4.0_93459.1 1M8W F
NR_4.0_97621.1 6Q9A 7
NR_4.0_90696.1 5WTK B
NR_4.0_71544.1 5BKL bb,qq
NR_4.0_03202.1 1TFY H,E
NR_4.0_82984.1 4ENC A
NR_4.0_32613.1 7O7Y AI
NR_4.0_57097.1 5BKN TT,kk
NR_4.0_19931.1 7CPU S6
NR_4.0_43901.1 1R3E D,E
NR_4.0_77788.1 7OI3 B
NR_4.0_82961.1 3GIB H
NR_4.0_22108.1 7O7Y AT
NR_4.0_54314.1 5XPG G
NR_4.0_64397.1 7P7Q D
NR_4.0_02841.1 7ECN A,B
NR_4.0_72776.1 5BTP B
NR_4.0_54156.1 5EME A
NR_4.0_38973.1 3I4M P
NR_4.0_62068.1 1EGK A
NR_4.0_58977.1 4EYA k,l
NR_4.0_36895.1 7CGH B
NR_4.0_44916.1 3HJF Y
NR_4.0_92888.1 7Y9X R
NR_4.0_02089.1 4G9Z E,F
NR_4.0_80911.1 4V5O BA
NR_4.0_79446.1 2G91 A,B
NR_4.0_20773.1 6O7H G,H
NR_4.0_72277.1 3NMA B,C
NR_4.0_57646.1 5M0J E
NR_4.0_78625.1 5M0J F
NR_4.0_70878.1 7AOR 2
NR_4.0_81333.1 3WBM X,Y
NR_4.0_42126.1 2B3J E
NR_4.0_80074.1 7MLX R
NR_4.0_32733.1 2PO1 C
NR_4.0_21689.1 2B3J G
NR_4.0_84898.1 1TFY G,J
NR_4.0_85397.1 6EEN G
NR_4.0_07366.1 6EEN F
NR_4.0_77670.1 6RM3 L70
NR_4.0_96336.1 7QR8 A
NR_4.0_20951.1 6U8D A
NR_4.0_06759.1 6EEN I
NR_4.0_18559.1 6EEN H
NR_4.0_56860.1 5Z9X R
NR_4.0_56204.1 6UGG B
NR_4.0_55974.1 7S3C B
NR_4.0_01782.1 4WTI T,P
NR_4.0_58564.1 3IVK M
NR_4.0_58324.1 6I3P F
NR_4.0_65501.1 7MJY M
NR_4.0_60757.1 7XYA R
NR_4.0_36733.1 7ORK P
NR_4.0_04359.1 3S1M R
NR_4.0_98802.1 6DLR A
NR_4.0_20272.1 6UFH A
NR_4.0_30439.1 3EGZ B
NR_4.0_62516.1 3SJ2 A,B
NR_4.0_05778.1 5GXH B
NR_4.0_17672.1 7M2V yy,zz
NR_4.0_23835.1 5XTM B
NR_4.0_90969.1 2ZZN D
NR_4.0_87226.1 6TZ1 T,M
NR_4.0_07561.2 6ZQD D4,D2
NR_4.0_08854.1 5IB8 1L
NR_4.0_99134.1 7N2V Dt
NR_4.0_22049.1 6O1O M,N
NR_4.0_12687.1 4RBZ A
NR_4.0_23920.1 6P2H A
NR_4.0_85126.1 5BZU B
NR_4.0_03341.1 4HOR X
NR_4.0_52282.1 1J2B C
NR_4.0_26209.1 6FQL B
NR_4.0_07720.1 7QR4 B
NR_4.0_39323.1 3ADL B,C
NR_4.0_44743.1 6AJK B
NR_4.0_27764.1 6VMY A
NR_4.0_26809.1 7PKT 8
NR_4.0_97569.1 2W89 A,B
NR_4.0_34961.3 6N7R R
NR_4.0_74135.1 2XGJ D
NR_4.0_11347.1 7PO6 F
NR_4.0_11258.1 2XGJ C
NR_4.0_70496.1 1Y27 X
NR_4.0_76684.1 6SXO L8
NR_4.0_35883.1 3RZO R
NR_4.0_40386.1 5WLH B
NR_4.0_03183.1 4XW1 C
NR_4.0_60226.1 6H5Q R
NR_4.0_99184.1 433D A,B
NR_4.0_74971.1 7E8O X
NR_4.0_40086.1 4JGN E
NR_4.0_37706.1 6OZP C,D
NR_4.0_78107.1 2F4V Z
NR_4.0_52614.1 5ML7 B
NR_4.0_94840.1 404D A
NR_4.0_27378.1 1QLN R
NR_4.0_09807.1 6LSH B,C
NR_4.0_23013.1 7PUA CB
NR_4.0_83188.1 6OON B
NR_4.0_74642.1 7PUA CA
NR_4.0_18318.1 3S16 R
NR_4.0_27521.1 6E9E B
NR_4.0_33460.3 7B0Y a
NR_4.0_18633.1 7JRR A
NR_4.0_49650.1 2VOP B
NR_4.0_63789.1 3ADD C
NR_4.0_61542.1 8D49 B
NR_4.0_79481.1 4RBQ A
NR_4.0_73108.1 7VTN B
NR_4.0_73160.1 6UV4 C
NR_4.0_45734.1 6OGY M
NR_4.0_73186.1 6OGY N
NR_4.0_75659.1 6UEJ B
NR_4.0_88000.1 5XOG P
NR_4.0_08724.1 4H5O L
NR_4.0_56560.1 3QJJ Q
NR_4.0_43225.1 7KGA B
NR_4.0_86192.1 7KGA A
NR_4.0_34353.1 3QJJ R
NR_4.0_99575.1 7D8O B
NR_4.0_72627.1 1U9S A
NR_4.0_72172.1 5CCB N
NR_4.0_67439.2 4PQU T
NR_4.0_55442.1 7R6K 1
NR_4.0_83745.1 5T3K A,B
NR_4.0_24009.1 5ID6 G
NR_4.0_83386.1 1U0B A
